date,home_team,away_team,team,scorer,minute,own_goal,penalty
1916-07-02,46,242,242,José Piendibene,44.0,0,0
1916-07-02,46,242,242,Isabelino Gradín,55.0,0,0
1916-07-02,46,242,242,Isabelino Gradín,70.0,0,0
1916-07-02,46,242,242,José Piendibene,75.0,0,0
1916-07-06,11,46,11,Alberto Ohaco,2.0,0,0
1916-07-06,11,46,46,Telésforo Báez,44.0,0,0
1916-07-06,11,46,11,Juan Domingo Brown,60.0,0,1
1916-07-06,11,46,11,Juan Domingo Brown,62.0,0,1
1916-07-06,11,46,11,Alberto Marcovecchio,67.0,0,0
1916-07-06,11,46,11,Alberto Ohaco,75.0,0,0
1916-07-06,11,46,11,Alberto Marcovecchio,81.0,0,0
1916-07-08,32,46,32,Demóstenes Correia de Syllos,29.0,0,0
1916-07-08,32,46,46,Hernando Salazar,85.0,0,0
1916-07-10,11,32,11,José Durand Laguna,10.0,0,0
1916-07-10,11,32,32,Manoel Alencar Monte,23.0,0,0
1916-07-12,32,242,32,Arthur Friedenreich,8.0,0,0
1916-07-12,32,242,242,Isabelino Gradín,58.0,0,0
1916-07-12,32,242,242,Jose Tognola,77.0,0,0
1917-09-30,242,46,242,Carlos Scarone,20.0,0,0
1917-09-30,242,46,242,Ángel Romano,44.0,0,0
1917-09-30,242,46,242,Carlos Scarone,62.0,0,1
1917-09-30,242,46,242,Ángel Romano,75.0,0,0
1917-10-03,11,32,32,Neco,8.0,0,0
1917-10-03,11,32,11,Pedro Calomino,15.0,0,0
1917-10-03,11,32,32,Silvio Lagreca,39.0,0,1
1917-10-03,11,32,11,Alberto Ohaco,56.0,0,1
1917-10-03,11,32,11,Alberto Ohaco,58.0,0,1
1917-10-03,11,32,11,Antonio Blanco,80.0,0,0
1917-10-06,11,46,11,Luis García,76.0,1,0
1917-10-07,242,32,242,Héctor Scarone,8.0,0,0
1917-10-07,242,32,242,Ángel Romano,17.0,0,0
1917-10-07,242,32,242,Ángel Romano,77.0,0,0
1917-10-07,242,32,242,Carlos Scarone,86.0,0,0
1917-10-12,32,46,32,Caetano Izzo,21.0,0,0
1917-10-12,32,46,32,Neco,23.0,0,0
1917-10-12,32,46,32,Haroldo Domingues,26.0,0,0
1917-10-12,32,46,32,Amílcar Barbuy,41.0,0,0
1917-10-12,32,46,32,Haroldo Domingues,59.0,0,0
1917-10-14,242,11,242,Héctor Scarone,62.0,0,0
1919-05-11,32,46,32,Arthur Friedenreich,19.0,0,0
1919-05-11,32,46,32,Neco,21.0,0,0
1919-05-11,32,46,32,Arthur Friedenreich,38.0,0,0
1919-05-11,32,46,32,Arthur Friedenreich,76.0,0,0
1919-05-11,32,46,32,Haroldo Domingues,79.0,0,0
1919-05-11,32,46,32,Neco,83.0,0,0
1919-05-13,11,242,242,Carlos Scarone,19.0,0,0
1919-05-13,11,242,242,Héctor Scarone,23.0,0,0
1919-05-13,11,242,11,Carlos Izaguirre,34.0,0,0
1919-05-13,11,242,11,Manuel Varela,79.0,1,0
1919-05-13,11,242,242,Isabelino Gradín,85.0,0,0
1919-05-17,46,242,242,Carlos Scarone,31.0,0,0
1919-05-17,46,242,242,José Pérez,43.0,0,0
1919-05-18,32,11,32,Heitor,22.0,0,0
1919-05-18,32,11,32,Amílcar Barbuy,57.0,0,0
1919-05-18,32,11,11,Carlos Izaguirre,65.0,0,0
1919-05-18,32,11,32,Adolpho Millón Junior,77.0,0,0
1919-05-22,11,46,11,Edwin Clarcke,10.0,0,0
1919-05-22,11,46,11,Carlos Izaguirre,13.0,0,0
1919-05-22,11,46,11,Edwin Clarcke,23.0,0,0
1919-05-22,11,46,46,Alfredo France,33.0,0,0
1919-05-22,11,46,11,Edwin Clarcke,62.0,0,0
1919-05-26,32,242,242,Isabelino Gradín,13.0,0,0
1919-05-26,32,242,242,Carlos Scarone,17.0,0,0
1919-05-26,32,242,32,Neco,29.0,0,0
1919-05-26,32,242,32,Neco,63.0,0,0
1919-05-29,32,242,32,Arthur Friedenreich,122.0,0,0
1920-09-11,46,32,32,Ismael Alvariza,53.0,0,0
1920-09-12,242,11,242,José Piendibene,10.0,0,0
1920-09-12,242,11,11,Raúl Echeverría,75.0,0,0
1920-09-18,32,242,242,Ángel Romano,23.0,0,0
1920-09-18,32,242,242,Antonio Urdinarán,26.0,0,1
1920-09-18,32,242,242,José Pérez,29.0,0,0
1920-09-18,32,242,242,Antonio Campolo,48.0,0,0
1920-09-18,32,242,242,Ángel Romano,60.0,0,0
1920-09-18,32,242,242,José Pérez,65.0,0,0
1920-09-20,46,11,11,Miguel Dellavalle,13.0,0,0
1920-09-20,46,11,46,Hernando Bolados,30.0,0,0
1920-09-25,11,32,11,Raúl Echeverría,40.0,0,0
1920-09-25,11,32,11,Julio Libonatti,73.0,0,0
1920-10-03,46,242,242,Ángel Romano,37.0,0,0
1920-10-03,46,242,46,Aurelio Domínguez,60.0,0,0
1920-10-03,46,242,242,José Pérez,65.0,0,0
1921-10-02,11,32,11,Julio Libonatti,27.0,0,0
1921-10-09,173,242,173,Gerardo Rivas,9.0,0,0
1921-10-09,173,242,173,Ildefonso López,66.0,0,0
1921-10-09,173,242,242,José Piendibene,83.0,0,0
1921-10-12,32,173,32,Ernesto Duarte Machado da Silva,21.0,0,0
1921-10-12,32,173,32,Ernesto Duarte Machado da Silva,44.0,0,0
1921-10-12,32,173,32,Aníbal Médicis Candiota,46.0,0,0
1921-10-16,11,173,11,Julio Libonatti,1.0,0,0
1921-10-16,11,173,11,Blas Saruppo,71.0,0,0
1921-10-16,11,173,11,Raúl Echeverría,76.0,0,0
1921-10-23,32,242,242,Ángel Romano,1.0,0,0
1921-10-23,32,242,242,Ángel Romano,8.0,0,0
1921-10-23,32,242,32,José Carlos Guimarães,53.0,0,0
1921-10-30,11,242,11,Julio Libonatti,57.0,0,0
1922-09-17,32,46,32,Altino Marcondes,9.0,0,0
1922-09-17,32,46,46,Manuel Bravo Paredes,41.0,0,0
1922-09-23,46,242,242,Juan Carlos Heguy,10.0,0,0
1922-09-23,46,242,242,Antonio Urdinarán,19.0,0,1
1922-09-24,32,173,32,Amílcar Barbuy,14.0,0,0
1922-09-24,32,173,173,Gerardo Rivas,71.0,0,0
1922-09-28,11,46,11,Angel Chiessa,10.0,0,0
1922-09-28,11,46,11,Julio Francia,36.0,0,0
1922-09-28,11,46,11,Julio Francia,41.0,0,0
1922-09-28,11,46,11,José Gaslini,75.0,0,0
1922-10-05,46,173,173,Julio Ramírez,5.0,0,0
1922-10-05,46,173,173,Ildefonso López,78.0,0,0
1922-10-05,46,173,173,Luis Fretes,86.0,0,0
1922-10-08,11,242,242,Felipe Buffoni,43.0,0,0
1922-10-12,173,242,173,Carlos Elizeche,7.0,0,0
1922-10-15,32,11,32,Neco,42.0,0,0
1922-10-15,32,11,32,Amílcar Barbuy,86.0,0,1
1922-10-18,11,173,11,Julio Francia,63.0,0,0
1922-10-18,11,173,11,Julio Francia,79.0,0,1
1922-10-22,32,173,32,Neco,11.0,0,0
1922-10-22,32,173,32,Xavier Camargo,48.0,0,0
1922-10-22,32,173,32,Xavier Camargo,89.0,0,0
1923-10-29,11,173,173,Gerardo Rivas,10.0,0,0
1923-10-29,11,173,11,Blas Saruppo,18.0,0,0
1923-10-29,11,173,173,Agustín Zelada,49.0,0,0
1923-10-29,11,173,11,Vicente Aguirre,58.0,0,0
1923-10-29,11,173,173,Luis Fretes,65.0,0,0
1923-10-29,11,173,11,Vicente Aguirre,77.0,0,0
1923-10-29,11,173,11,Vicente Aguirre,86.0,0,0
1923-11-04,242,173,242,Héctor Scarone,11.0,0,0
1923-11-04,242,173,242,Pedro Petrone,87.0,0,0
1923-11-11,32,173,173,Ildefonso López,56.0,0,0
1923-11-18,11,32,11,Cesáreo Onzari,11.0,0,0
1923-11-18,11,32,32,Nilo Braga,15.0,0,0
1923-11-18,11,32,11,Blas Saruppo,76.0,0,0
1923-11-25,242,32,242,Pedro Petrone,56.0,0,0
1923-11-25,242,32,32,Nilo Braga,59.0,0,0
1923-11-25,242,32,242,José Cea,75.0,0,0
1923-12-02,242,11,242,Pedro Petrone,28.0,0,0
1923-12-02,242,11,242,Pascual Somma,88.0,0,0
1924-05-25,332,231,332,Rudolf Sloup,21.0,0,0
1924-05-25,332,231,332,Josef Sedláček,28.0,0,0
1924-05-25,332,231,332,Josef Sedláček,37.0,0,0
1924-05-25,332,231,231,Bekir Refet,63.0,0,0
1924-05-25,332,231,332,Jan Novák,64.0,0,0
1924-05-25,332,231,332,Josef Čapek,74.0,0,0
1924-05-25,332,231,231,Bekir Refet,82.0,0,0
1924-05-25,108,212,108,Pedro Vallana,84.0,1,0
1924-05-25,219,127,219,Paul Sturzenegger,2.0,0,0
1924-05-25,219,127,219,Walter Dietrich,14.0,0,0
1924-05-25,219,127,219,Max Abegglen,41.0,0,0
1924-05-25,219,127,219,Paul Sturzenegger,43.0,0,0
1924-05-25,219,127,219,Max Abegglen,50.0,0,0
1924-05-25,219,127,219,Max Abegglen,58.0,0,0
1924-05-25,219,127,219,Rudolf Ramseyer,63.0,0,1
1924-05-25,219,127,219,Paul Sturzenegger,68.0,0,0
1924-05-25,219,127,219,Paul Sturzenegger,85.0,0,0
1924-05-25,240,69,240,Andy Straden,15.0,0,1
1924-05-26,99,177,99,József Eisenhoffer,14.0,0,0
1924-05-26,99,177,99,Ferenc Hirzer,51.0,0,0
1924-05-26,99,177,99,Ferenc Hirzer,58.0,0,0
1924-05-26,99,177,99,Zoltán Opata,70.0,0,0
1924-05-26,99,177,99,Zoltán Opata,87.0,0,0
1924-05-26,242,313,242,José Vidal,20.0,0,0
1924-05-26,242,313,242,Héctor Scarone,23.0,0,0
1924-05-26,242,313,242,Pedro Petrone,35.0,0,0
1924-05-26,242,313,242,Pedro Cea,50.0,0,0
1924-05-26,242,313,242,Ángel Romano,58.0,0,0
1924-05-26,242,313,242,Pedro Petrone,61.0,0,0
1924-05-26,242,313,242,Pedro Cea,80.0,0,0
1924-05-27,75,121,75,Édouard Crut,17.0,0,0
1924-05-27,75,121,75,Paul Nicolas,25.0,0,0
1924-05-27,75,121,75,Édouard Crut,28.0,0,0
1924-05-27,75,121,75,Paul Nicolas,50.0,0,0
1924-05-27,75,121,75,Édouard Crut,55.0,0,0
1924-05-27,75,121,75,Jean Boyer,71.0,0,0
1924-05-27,75,121,75,Jean Boyer,87.0,0,0
1924-05-27,155,183,155,Albert Hurgronje,8.0,0,0
1924-05-27,155,183,155,Kees Pijl,32.0,0,0
1924-05-27,155,183,155,Kees Pijl,52.0,0,0
1924-05-27,155,183,155,Kees Pijl,66.0,0,0
1924-05-27,155,183,155,Kees Pijl,68.0,0,0
1924-05-27,155,183,155,Johannes de Natris,69.0,0,1
1924-05-28,105,36,105,Paddy Duncan,75.0,0,0
1924-05-28,219,332,332,Rudolf Sloup,21.0,0,1
1924-05-28,219,332,219,Walter Dietrich,79.0,0,0
1924-05-29,65,99,65,Ibrahim Yakan,4.0,0,0
1924-05-29,65,99,65,Hussein Hegazi,40.0,0,0
1924-05-29,65,99,65,Ibrahim Yakan,58.0,0,0
1924-05-29,108,128,108,Adolfo Baloncieri,20.0,0,0
1924-05-29,108,128,108,Giuseppe Della Valle,38.0,0,0
1924-05-29,218,22,218,Rudolf Kock,8.0,0,0
1924-05-29,218,22,218,Sven Rydell,20.0,0,0
1924-05-29,218,22,218,Rudolf Kock,24.0,0,0
1924-05-29,218,22,218,Charles Brommesson,30.0,0,0
1924-05-29,218,22,218,Tore Keller,46.0,0,0
1924-05-29,218,22,218,Sven Rydell,61.0,0,0
1924-05-29,218,22,22,Henri Larnoe,67.0,0,0
1924-05-29,218,22,218,Rudolf Kock,77.0,0,0
1924-05-29,218,22,218,Sven Rydell,83.0,0,0
1924-05-29,242,240,242,Pedro Petrone,10.0,0,0
1924-05-29,242,240,242,Héctor Scarone,15.0,0,0
1924-05-29,242,240,242,Pedro Petrone,44.0,0,0
1924-05-30,219,332,219,Robert Pache,87.0,0,0
1924-06-01,75,242,242,Héctor Scarone,2.0,0,0
1924-06-01,75,242,75,Paul Nicolas,12.0,0,0
1924-06-01,75,242,242,Héctor Scarone,24.0,0,0
1924-06-01,75,242,242,Pedro Petrone,58.0,0,0
1924-06-01,75,242,242,Pedro Petrone,68.0,0,0
1924-06-01,75,242,242,Ángel Romano,83.0,0,0
1924-06-01,218,65,218,Per Kaufeldt,5.0,0,0
1924-06-01,218,65,218,Charles Brommesson,31.0,0,0
1924-06-01,218,65,218,Charles Brommesson,34.0,0,0
1924-06-01,218,65,218,Sven Rydell,49.0,0,0
1924-06-01,218,65,218,Per Kaufeldt,71.0,0,0
1924-06-02,155,105,155,Ok Formenoy,7.0,0,0
1924-06-02,155,105,105,Frank Ghent,33.0,0,0
1924-06-02,155,105,155,Ok Formenoy,104.0,0,0
1924-06-02,219,108,219,Paul Sturzenegger,47.0,0,0
1924-06-02,219,108,108,Giuseppe Della Valle,52.0,0,0
1924-06-02,219,108,219,Max Abegglen,60.0,0,0
1924-06-05,219,218,219,Max Abegglen,15.0,0,0
1924-06-05,219,218,218,Rudolf Kock,41.0,0,0
1924-06-05,219,218,219,Max Abegglen,77.0,0,0
1924-06-06,242,155,155,Cornelis Pijl,32.0,0,0
1924-06-06,242,155,242,Pedro Cea,62.0,0,0
1924-06-06,242,155,242,Héctor Scarone,81.0,0,1
1924-06-08,218,155,218,Per Kaufeldt,44.0,0,0
1924-06-08,218,155,155,André le Fèvre,77.0,0,0
1924-06-09,218,155,218,Sven Rydell,34.0,0,0
1924-06-09,218,155,218,Evert Lundqvist,42.0,0,0
1924-06-09,218,155,155,Ok Formenoy,43.0,0,1
1924-06-09,218,155,218,Sven Rydell,77.0,0,0
1924-06-09,242,219,242,Pedro Petrone,9.0,0,0
1924-06-09,242,219,242,Pedro Cea,65.0,0,0
1924-06-09,242,219,242,Ángel Romano,82.0,0,0
1924-10-19,242,46,242,Pedro Petrone,40.0,0,0
1924-10-19,242,46,242,Pedro Petrone,53.0,0,0
1924-10-19,242,46,242,Pedro Zingone,73.0,0,0
1924-10-19,242,46,242,Ángel Romano,78.0,0,0
1924-10-19,242,46,242,Pedro Petrone,88.0,0,0
1924-10-25,11,46,11,Gabino Sosa,5.0,0,0
1924-10-25,11,46,11,Juan Loyarte,78.0,0,0
1924-10-26,242,173,242,Pedro Petrone,28.0,0,0
1924-10-26,242,173,242,Ángel Romano,37.0,0,0
1924-10-26,242,173,242,José Cea,53.0,0,0
1924-10-26,242,173,173,Paisano Urbita Sosa,77.0,0,0
1924-11-01,46,173,46,David Arellano,6.0,0,0
1924-11-01,46,173,173,Ildefonso López,15.0,0,0
1924-11-01,46,173,173,Ildefonso López,33.0,0,0
1924-11-01,46,173,173,Gerardo Rivas,52.0,0,0
1925-11-29,11,173,11,Manuel Seoane,2.0,0,0
1925-11-29,11,173,11,Martin Sánchez,72.0,0,0
1925-12-06,32,173,32,Anfilogino Marques,16.0,0,0
1925-12-06,32,173,32,Arthur Friedenreich,18.0,0,0
1925-12-06,32,173,173,Gerardo Rivas,25.0,0,0
1925-12-06,32,173,32,Severino Da Silva,30.0,0,0
1925-12-06,32,173,32,Severino Da Silva,52.0,0,0
1925-12-06,32,173,173,Gerardo Rivas,55.0,0,0
1925-12-06,32,173,32,Nilo Braga,72.0,0,0
1925-12-13,11,32,32,Nilo Braga,22.0,0,0
1925-12-13,11,32,11,Manuel Seoane,41.0,0,0
1925-12-13,11,32,11,Manuel Seoane,48.0,0,0
1925-12-13,11,32,11,Alfredo Garasini,72.0,0,0
1925-12-13,11,32,11,Manuel Seoane,74.0,0,0
1925-12-17,32,173,32,Nilo Braga,30.0,0,0
1925-12-17,32,173,32,Severino Da Silva,57.0,0,0
1925-12-17,32,173,173,Luis Fretes,58.0,0,0
1925-12-17,32,173,32,Severino Da Silva,61.0,0,0
1925-12-20,11,173,173,Manuel Fleitas Solich,15.0,0,0
1925-12-20,11,173,11,Domingo Tarasconi,22.0,0,0
1925-12-20,11,173,11,Manuel Seoane,32.0,0,0
1925-12-20,11,173,11,Juan Carlos Irurieta,63.0,0,0
1925-12-25,11,32,32,Arthur Friedenreich,27.0,0,0
1925-12-25,11,32,32,Nilo Braga,30.0,0,0
1925-12-25,11,32,11,Antonio Cerroti,41.0,0,0
1925-12-25,11,32,11,Manuel Seoane,55.0,0,0
1926-10-12,46,27,46,Manuel Ramírez,10.0,0,0
1926-10-12,46,27,46,Guillermo Subiabre,14.0,0,0
1926-10-12,46,27,46,David Arellano,15.0,0,0
1926-10-12,46,27,46,David Arellano,41.0,0,0
1926-10-12,46,27,46,Humberto Moreno,47.0,0,0
1926-10-12,46,27,27,Teófilo Aguilar,62.0,0,0
1926-10-12,46,27,46,David Arellano,80.0,0,0
1926-10-12,46,27,46,David Arellano,84.0,0,0
1926-10-16,11,27,11,Roberto Cherro,9.0,0,0
1926-10-16,11,27,11,Roberto Cherro,19.0,0,0
1926-10-16,11,27,11,Gabino Sosa,31.0,0,0
1926-10-16,11,27,11,Benjamín Delgado,43.0,0,0
1926-10-16,11,27,11,Antonio de Miguel,74.0,0,0
1926-10-17,46,242,242,René Borjas,22.0,0,0
1926-10-17,46,242,242,Héctor Castro,32.0,0,0
1926-10-17,46,242,242,Héctor Scarone,55.0,0,0
1926-10-17,46,242,46,Guillermo Subiabre,65.0,0,1
1926-10-20,11,173,11,Gabino Sosa,11.0,0,0
1926-10-20,11,173,11,Roberto Cherro,16.0,0,0
1926-10-20,11,173,11,Gabino Sosa,32.0,0,0
1926-10-20,11,173,11,Benjamín Delgado,40.0,0,0
1926-10-20,11,173,11,Benjamín Delgado,42.0,0,0
1926-10-20,11,173,11,Antonio de Miguel,52.0,0,0
1926-10-20,11,173,11,Gabino Sosa,59.0,0,0
1926-10-20,11,173,11,Gabino Sosa,87.0,0,0
1926-10-23,27,173,27,Carlos Soto,15.0,0,0
1926-10-23,27,173,173,Ildefonso López,57.0,0,0
1926-10-23,27,173,173,Ceferino Ramírez,68.0,0,0
1926-10-23,27,173,173,Ceferino Ramírez,72.0,0,0
1926-10-23,27,173,173,Pablo Ramírez,76.0,0,0
1926-10-23,27,173,173,Ildefonso López,81.0,0,0
1926-10-23,27,173,173,Ceferino Ramírez,88.0,0,0
1926-10-24,11,242,242,René Borjas,22.0,0,0
1926-10-24,11,242,242,Héctor Castro,73.0,0,0
1926-10-28,27,242,242,Héctor Scarone,9.0,0,0
1926-10-28,27,242,242,Héctor Scarone,12.0,0,0
1926-10-28,27,242,242,Héctor Scarone,28.0,0,0
1926-10-28,27,242,242,Héctor Scarone,39.0,0,0
1926-10-28,27,242,242,Ángel Romano,67.0,0,0
1926-10-28,27,242,242,Héctor Scarone,81.0,0,0
1926-10-31,46,11,46,Guillermo Saavedra,25.0,0,0
1926-10-31,46,11,11,Domingo Tarasconi,87.0,0,0
1926-11-01,173,242,242,Héctor Castro,16.0,0,0
1926-11-01,173,242,242,Héctor Castro,23.0,0,0
1926-11-01,173,242,242,Héctor Castro,32.0,0,0
1926-11-01,173,242,242,Zoilo Saldombide,47.0,0,1
1926-11-01,173,242,173,Manuel Fleitas Solich,58.0,0,1
1926-11-01,173,242,242,Héctor Castro,72.0,0,0
1926-11-01,173,242,242,Zoilo Saldombide,82.0,0,0
1926-11-03,46,173,46,David Arellano,21.0,0,0
1926-11-03,46,173,173,Luis Vargas Peña,40.0,0,0
1926-11-03,46,173,46,Manuel Ramírez,42.0,0,0
1926-11-03,46,173,46,David Arellano,64.0,0,0
1926-11-03,46,173,46,David Arellano,71.0,0,0
1926-11-03,46,173,46,Manuel Ramírez,82.0,0,0
1927-10-30,11,27,11,Segundo Luna,18.0,0,0
1927-10-30,11,27,11,Alfredo Carricaberry,20.0,0,0
1927-10-30,11,27,11,Humberto Recanatini,24.0,0,1
1927-10-30,11,27,11,Manuel Seoane,29.0,0,0
1927-10-30,11,27,11,Alfredo Carricaberry,36.0,0,0
1927-10-30,11,27,27,Mario Alborta,42.0,0,0
1927-10-30,11,27,11,Segundo Luna,56.0,0,0
1927-10-30,11,27,11,Manuel Seoane,79.0,0,0
1927-11-01,174,242,242,Daniel Ulloa,49.0,1,0
1927-11-01,174,242,242,Antonio Sacco,52.0,0,0
1927-11-01,174,242,242,Antonio Sacco,71.0,0,0
1927-11-01,174,242,242,Héctor Castro,75.0,0,0
1927-11-06,27,242,242,Pedro Petrone,18.0,0,0
1927-11-06,27,242,242,Roberto Figueroa,19.0,0,0
1927-11-06,27,242,242,Juan Arremón,43.0,0,0
1927-11-06,27,242,242,Pedro Petrone,65.0,0,0
1927-11-06,27,242,242,Roberto Figueroa,67.0,0,0
