date,home_team,away_team,winner,first_shooter
1967-08-22,101,221,221,-1
1971-11-14,210,317,210,-1
1972-05-07,210,104,104,-1
1972-05-17,224,210,210,-1
1972-05-19,224,39,224,-1
1973-04-21,197,83,83,-1
1973-06-14,92,135,92,-1
1973-06-14,140,223,140,-1
1973-07-26,133,118,133,-1
1973-07-26,39,202,202,-1
1973-07-27,19,224,224,-1
1973-07-28,151,210,151,-1
1973-08-09,101,317,317,-1
1973-08-23,4,220,220,-1
1973-08-25,4,104,4,-1
1973-09-06,202,317,317,-1
1974-03-28,180,238,180,-1
1974-07-24,98,102,102,-1
1974-08-01,101,102,102,-1
1974-10-09,220,149,149,-1
1974-11-22,125,230,230,-1
1974-12-18,210,133,210,-1
1975-07-13,149,83,149,-1
1975-11-09,115,132,115,-1
1975-12-09,224,133,224,-1
1975-12-23,125,220,220,-1
1976-06-20,332,82,332,332
1976-12-22,210,133,133,-1
1977-01-09,230,149,230,-1
1977-03-22,11,103,11,-1
1977-06-26,251,4,251,-1
1977-07-27,103,149,103,-1
1977-08-31,173,11,173,-1
1979-01-13,93,135,135,-1
1979-01-14,93,92,92,-1
1979-04-29,40,92,92,-1
1979-05-22,11,155,11,11
1979-08-31,200,140,200,-1
1979-09-29,102,224,102,-1
1980-02-16,80,139,80,-1
1980-03-19,4,65,4,-1
1980-06-21,108,332,332,108
1980-07-12,161,230,161,-1
1980-11-30,251,149,149,-1
1980-12-31,98,47,47,-1
1981-02-13,135,92,92,-1
1981-05-10,185,70,70,-1
1981-12-13,133,202,133,-1
1982-02-21,109,226,226,-1
1982-02-22,109,37,37,-1
1982-03-19,125,83,83,-1
1982-05-15,224,202,224,-1
1982-05-17,224,210,224,-1
1982-07-08,82,75,82,75
1982-10-17,102,133,102,-1
1982-11-27,236,115,115,-1
1983-02-06,197,160,197,-1
1983-02-20,80,201,80,-1
1983-02-27,135,92,135,-1
1983-04-22,65,269,65,-1
1983-04-24,140,70,70,-1
1983-06-04,224,133,224,-1
1983-07-18,98,224,224,-1
1983-08-28,149,161,161,-1
1983-12-15,109,135,109,-1
1983-12-18,135,161,135,-1
1984-02-16,201,135,201,-1
1984-02-19,201,197,197,-1
1984-03-14,65,161,161,-1
1984-03-14,4,40,40,-1
1984-03-28,104,180,104,-1
1984-06-24,60,212,212,60
1984-07-15,197,7,7,-1
1984-11-23,115,207,115,-1
1984-11-28,83,226,83,-1
1984-12-08,115,207,115,-1
1984-12-13,196,103,196,-1
1984-12-15,132,251,251,-1
1984-12-16,103,118,118,-1
1984-12-16,45,67,45,-1
1984-12-19,44,79,79,-1
1984-12-20,269,40,40,-1
1985-04-16,150,132,150,-1
1985-04-21,131,65,65,-1
1985-07-10,18,180,18,-1
1985-07-12,196,180,196,-1
1985-08-25,135,92,92,-1
1985-08-31,140,340,140,-1
1985-09-15,150,125,150,-1
1985-10-11,115,236,115,-1
1985-12-15,202,133,202,-1
1985-12-25,168,154,154,-1
1985-12-25,19,101,101,-1
1986-03-21,65,40,65,-1
1986-06-21,32,75,75,32
1986-06-21,142,82,82,82
1986-06-22,212,22,22,212
1986-10-01,196,104,196,-1
1986-10-01,210,103,210,-1
1986-10-01,238,102,102,-1
1986-10-01,118,47,118,-1
1986-10-03,196,118,196,-1
1986-10-19,79,7,7,-1
1986-12-17,45,79,45,-1
1987-03-01,135,201,135,-1
1987-03-02,197,201,197,-1
1987-06-19,14,65,14,-1
1987-06-21,210,14,210,-1
1987-07-19,59,197,59,-1
1987-08-08,109,131,109,-1
1987-08-09,40,65,65,-1
1987-08-10,115,132,132,-1
1987-12-13,132,252,252,-1
1987-12-18,67,79,79,-1
1987-12-27,70,252,70,-1
1988-01-06,210,65,210,-1
1988-03-23,4,161,161,-1
1988-03-26,149,4,4,-1
1988-03-31,82,218,218,218
1988-05-05,135,197,135,-1
1988-05-08,92,135,92,-1
1988-05-28,41,85,41,-1
1988-07-19,65,220,220,-1
1988-07-21,104,220,104,-1
1988-09-29,46,64,64,-1
1988-10-16,291,223,291,-1
1988-12-06,44,79,79,-1
1988-12-17,47,103,103,-1
1988-12-18,210,196,196,210
1989-04-23,83,79,79,-1
1989-04-23,115,214,115,-1
1989-08-30,102,224,102,-1
1989-11-08,103,236,236,-1
1989-11-12,104,236,104,-1
1989-12-11,45,40,40,-1
1989-12-16,132,236,236,-1
1990-01-28,161,197,161,-1
1990-02-04,240,50,50,50
1990-02-20,50,184,50,50
1990-05-18,252,291,252,-1
1990-06-25,105,183,105,183
1990-06-30,313,11,11,11
1990-07-03,108,11,11,108
1990-07-04,82,298,82,298
1990-08-03,47,210,210,-1
1990-10-01,196,164,164,-1
1990-10-06,103,164,103,-1
1990-12-17,223,236,236,-1
1990-12-17,44,67,44,-1
1991-01-21,40,4,40,-1
1991-01-21,197,109,109,-1
1991-01-22,197,4,197,-1
1991-01-23,109,40,109,-1
1991-06-14,210,14,210,-1
1991-06-16,108,184,108,184
1991-07-07,240,97,240,240
1991-08-08,332,313,332,-1
1991-09-20,73,206,73,-1
1991-09-28,65,135,65,-1
1991-12-02,102,202,102,-1
1991-12-04,102,224,102,-1
1992-01-23,40,109,109,109
1992-01-26,83,109,109,109
1992-06-22,155,60,60,155
1992-06-27,55,138,138,-1
1992-08-29,111,210,111,-1
1992-09-15,220,65,65,-1
1992-11-08,47,238,47,-1
1992-11-25,236,251,236,-1
1993-01-23,111,219,219,-1
1993-02-20,74,69,74,-1
1993-02-24,11,60,11,11
1993-05-27,27,173,27,-1
1993-05-28,138,188,138,-1
1993-05-30,110,138,138,-1
1993-06-17,202,151,202,-1
1993-06-26,50,242,50,50
1993-06-27,32,11,11,32
1993-07-01,50,11,11,50
1993-08-15,14,41,14,14
1993-10-24,38,92,92,-1
1993-12-26,154,101,154,-1
1994-01-29,37,92,37,-1
1994-04-06,161,109,161,161
1994-07-05,142,36,36,142
1994-07-10,183,218,218,218
1994-07-17,32,108,32,108
1994-12-08,223,236,223,-1
1995-01-10,60,142,60,60
1995-01-13,142,161,142,161
1995-02-26,111,210,111,-1
1995-03-31,101,19,101,-1
1995-05-21,10,188,10,-1
1995-06-09,173,27,173,-1
1995-07-16,173,50,50,50
1995-07-17,240,142,240,240
1995-07-17,32,11,32,32
1995-07-23,242,32,242,242
1995-08-24,73,206,206,-1
1995-11-28,139,201,201,-1
1995-12-02,79,40,40,-1
1995-12-02,4,109,109,-1
1995-12-06,70,271,271,-1
1995-12-07,97,53,97,-1
1995-12-25,19,213,19,-1
1995-12-27,213,154,213,-1
1996-01-28,79,230,230,230
1996-02-22,111,218,218,-1
1996-04-28,20,110,110,-1
1996-05-05,94,215,215,-1
1996-06-05,138,215,138,-1
1996-06-22,298,212,298,298
1996-06-22,75,155,75,155
1996-06-26,75,58,58,75
1996-06-26,298,82,82,298
1996-08-25,70,236,70,-1
1996-11-29,214,115,214,-1
1996-12-11,149,54,54,-1
1996-12-12,54,58,54,-1
1996-12-19,103,196,196,103
1996-12-21,103,118,103,118
1996-12-21,238,196,196,196
1996-12-27,24,37,24,-1
1997-02-07,184,198,184,-1
1997-04-10,101,104,104,-1
1997-06-22,64,142,142,64
1997-07-10,229,110,229,-1
1997-10-18,102,224,224,-1
1997-10-20,95,55,95,-1
1997-10-22,55,40,55,-1
1997-12-07,80,92,92,-1
1998-01-31,65,210,210,-1
1998-01-31,103,46,103,-1
1998-02-21,37,230,37,37
1998-02-21,109,65,65,109
1998-02-27,37,59,59,59
1998-04-22,99,256,99,-1
1998-05-29,22,298,22,22
1998-05-29,149,75,149,149
1998-06-30,11,298,11,11
1998-07-03,75,108,75,75
1998-07-07,32,155,32,32
1998-08-15,340,131,340,-1
1998-09-05,102,224,102,-1
1998-11-17,90,97,90,-1
1998-11-18,90,142,90,-1
1998-12-02,238,164,238,-1
1998-12-14,180,118,118,-1
1999-05-22,132,152,152,-1
1999-06-16,224,158,224,-1
1999-06-19,158,177,177,-1
1999-07-10,142,174,142,142
1999-07-10,173,242,242,242
1999-07-13,242,46,242,242
1999-07-18,291,252,291,-1
1999-07-31,152,208,152,-1
1999-08-03,185,115,115,-1
1999-08-07,185,38,185,-1
1999-08-07,251,150,251,-1
1999-08-14,102,202,102,-1
1999-08-28,152,291,152,-1
1999-11-26,79,226,226,-1
2000-02-04,183,81,183,-1
2000-02-12,208,230,208,208
2000-02-13,161,40,40,161
2000-02-19,240,50,50,240
2000-03-19,215,189,215,-1
2000-04-29,34,203,34,-1
